datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-05:53:06.496, 0:00:00.000136, TCP, 9.246.85.82, 29359, 192.168.136.128, 135, 0, 0.,52,52
04/16-05:53:06.496, 0:00:00.000119, TCP, 9.246.85.82, 61563, 192.168.136.128, 135, 0, 0.,52,52
04/16-05:53:06.497, 0:00:00.000183, TCP, 9.246.85.82, 7209, 192.168.136.128, 135, 0, 0.,53,53
04/16-05:53:06.498, 0:00:00.000179, TCP, 9.246.85.82, 65104, 192.168.136.128, 135, 0, 0.,54,54
04/16-05:53:06.499, 0:00:00.000325, TCP, 9.246.85.82, 16842, 192.168.136.128, 135, 0, 0.,55,55
04/16-05:53:06.501, 0:00:00.000210, TCP, 9.246.85.82, 30671, 192.168.136.128, 135, 0, 0.,57,57
04/16-05:53:06.501, 0:00:00.000197, TCP, 9.246.85.82, 25163, 192.168.136.128, 135, 0, 0.,57,57
04/16-05:53:06.502, 0:00:00.000179, TCP, 9.246.85.82, 47520, 192.168.136.128, 135, 0, 0.,58,58
04/16-05:53:06.503, 0:00:00.000201, TCP, 9.246.85.82, 56937, 192.168.136.128, 135, 0, 0.,59,59
04/16-05:53:06.504, 0:00:00.000222, TCP, 9.246.85.82, 32066, 192.168.136.128, 135, 0, 0.,60,60
04/16-05:53:06.505, 0:00:00.000183, TCP, 9.246.85.82, 11607, 192.168.136.128, 135, 0, 0.,61,61
04/16-05:53:06.506, 0:00:00.000185, TCP, 9.246.85.82, 14972, 192.168.136.128, 135, 0, 0.,62,62
04/16-05:53:06.507, 0:00:00.000221, TCP, 9.246.85.82, 55690, 192.168.136.128, 135, 0, 0.,63,63
04/16-05:53:06.508, 0:00:00.000191, TCP, 9.246.85.82, 60245, 192.168.136.128, 135, 0, 0.,64,64
04/16-05:53:06.509, 0:00:00.000133, TCP, 9.246.85.82, 45207, 192.168.136.128, 135, 0, 0.,65,65
04/16-05:53:06.510, 0:00:00.000136, TCP, 9.246.85.82, 4921, 192.168.136.128, 135, 0, 0.,66,66
04/16-05:53:06.511, 0:00:00.000177, TCP, 9.246.85.82, 2334, 192.168.136.128, 135, 0, 0.,68,68
04/16-05:53:06.511, 0:00:00.000164, TCP, 9.246.85.82, 61490, 192.168.136.128, 135, 0, 0.,68,68
04/16-05:53:06.512, 0:00:00.000140, TCP, 9.246.85.82, 52821, 192.168.136.128, 135, 0, 0.,69,69
04/16-05:53:06.513, 0:00:00.000143, TCP, 9.246.85.82, 2533, 192.168.136.128, 135, 0, 0.,70,70
04/16-05:53:06.514, 0:00:00.000118, TCP, 9.246.85.82, 22030, 192.168.136.128, 135, 0, 0.,71,71
04/16-05:53:06.515, 0:00:00.000284, TCP, 9.246.85.82, 3227, 192.168.136.128, 135, 0, 0.,72,72
04/16-05:53:06.516, 0:00:00.000143, TCP, 9.246.85.82, 51457, 192.168.136.128, 135, 0, 0.,73,73
04/16-05:53:06.517, 0:00:00.000145, TCP, 9.246.85.82, 19199, 192.168.136.128, 135, 0, 0.,74,74
04/16-05:53:06.518, 0:00:00.000147, TCP, 9.246.85.82, 24088, 192.168.136.128, 135, 0, 0.,75,75
04/16-05:53:06.519, 0:00:00.000142, TCP, 9.246.85.82, 27889, 192.168.136.128, 135, 0, 0.,77,77
04/16-05:53:06.519, 0:00:00.000138, TCP, 9.246.85.82, 20378, 192.168.136.128, 135, 0, 0.,77,77
04/16-05:53:06.520, 0:00:00.000140, TCP, 9.246.85.82, 49233, 192.168.136.128, 135, 0, 0.,78,78
04/16-05:53:06.521, 0:00:00.000139, TCP, 9.246.85.82, 27543, 192.168.136.128, 135, 0, 0.,79,79
04/16-05:53:06.522, 0:00:00.000165, TCP, 9.246.85.82, 38075, 192.168.136.128, 135, 0, 0.,80,80
04/16-05:53:06.523, 0:00:00.000115, TCP, 9.246.85.82, 4024, 192.168.136.128, 135, 0, 0.,81,81
04/16-05:53:06.524, 0:00:00.000176, TCP, 9.246.85.82, 19174, 192.168.136.128, 135, 0, 0.,82,82
04/16-05:53:06.525, 0:00:00.000156, TCP, 9.246.85.82, 19885, 192.168.136.128, 135, 0, 0.,84,84
04/16-05:53:06.525, 0:00:00.000181, TCP, 9.246.85.82, 62852, 192.168.136.128, 135, 0, 0.,84,84
04/16-05:53:06.526, 0:00:00.000194, TCP, 9.246.85.82, 2921, 192.168.136.128, 135, 0, 0.,85,85
04/16-05:53:06.527, 0:00:00.000181, TCP, 9.246.85.82, 1637, 192.168.136.128, 135, 0, 0.,86,86
04/16-05:53:06.528, 0:00:00.000173, TCP, 9.246.85.82, 20143, 192.168.136.128, 135, 0, 0.,87,87
04/16-05:53:06.529, 0:00:00.000193, TCP, 9.246.85.82, 37835, 192.168.136.128, 135, 0, 0.,88,88
04/16-05:53:06.530, 0:00:00.000173, TCP, 9.246.85.82, 44725, 192.168.136.128, 135, 0, 0.,89,89
04/16-05:53:06.531, 0:00:00.000213, TCP, 9.246.85.82, 68, 192.168.136.128, 135, 0, 0.,90,90
04/16-05:53:06.532, 0:00:00.000163, TCP, 9.246.85.82, 11521, 192.168.136.128, 135, 0, 0.,91,91
04/16-05:53:06.533, 0:00:00.000152, TCP, 9.246.85.82, 21293, 192.168.136.128, 135, 0, 0.,93,93
04/16-05:53:06.533, 0:00:00.000180, TCP, 9.246.85.82, 5027, 192.168.136.128, 135, 0, 0.,93,93
04/16-05:53:06.534, 0:00:00.000190, TCP, 9.246.85.82, 4486, 192.168.136.128, 135, 0, 0.,94,94
04/16-05:53:06.535, 0:00:00.000193, TCP, 9.246.85.82, 29746, 192.168.136.128, 135, 0, 0.,95,95
04/16-05:53:06.536, 0:00:00.000195, TCP, 9.246.85.82, 14692, 192.168.136.128, 135, 0, 0.,96,96
04/16-05:53:06.537, 0:00:00.000192, TCP, 9.246.85.82, 43379, 192.168.136.128, 135, 0, 0.,97,97
04/16-05:53:06.538, 0:00:00.000187, TCP, 9.246.85.82, 4376, 192.168.136.128, 135, 0, 0.,98,98
04/16-05:53:06.539, 0:00:00.000245, TCP, 9.246.85.82, 35556, 192.168.136.128, 135, 0, 0.,99,99
04/16-05:53:06.540, 0:00:00.000219, TCP, 9.246.85.82, 50227, 192.168.136.128, 135, 0, 0.,100,100
04/16-05:53:06.541, 0:00:00.000144, TCP, 9.246.85.82, 16237, 192.168.136.128, 135, 0, 0.,102,102
04/16-05:53:06.541, 0:00:00.000187, TCP, 9.246.85.82, 1971, 192.168.136.128, 135, 0, 0.,102,102
04/16-05:53:06.542, 0:00:00.000205, TCP, 9.246.85.82, 48491, 192.168.136.128, 135, 0, 0.,103,103
04/16-05:53:06.543, 0:00:00.000192, TCP, 9.246.85.82, 49993, 192.168.136.128, 135, 0, 0.,104,104
04/16-05:53:06.544, 0:00:00.000183, TCP, 9.246.85.82, 62275, 192.168.136.128, 135, 0, 0.,105,105
04/16-05:53:06.545, 0:00:00.000183, TCP, 9.246.85.82, 13767, 192.168.136.128, 135, 0, 0.,106,106
04/16-05:53:06.546, 0:00:00.000230, TCP, 9.246.85.82, 3197, 192.168.136.128, 135, 0, 0.,107,107
04/16-05:53:06.547, 0:00:00.000146, TCP, 9.246.85.82, 61900, 192.168.136.128, 135, 0, 0.,108,108
04/16-05:53:06.548, 0:00:00.000139, TCP, 9.246.85.82, 34431, 192.168.136.128, 135, 0, 0.,110,110
04/16-05:53:06.548, 0:00:00.000217, TCP, 9.246.85.82, 37507, 192.168.136.128, 135, 0, 0.,110,110
04/16-05:53:06.549, 0:00:00.000212, TCP, 9.246.85.82, 48992, 192.168.136.128, 135, 0, 0.,111,111
04/16-05:53:06.550, 0:00:00.000192, TCP, 9.246.85.82, 46176, 192.168.136.128, 135, 0, 0.,112,112
04/16-05:53:06.551, 0:00:00.000214, TCP, 9.246.85.82, 55884, 192.168.136.128, 135, 0, 0.,113,113
04/16-05:53:06.552, 0:00:00.000184, TCP, 9.246.85.82, 344, 192.168.136.128, 135, 0, 0.,114,114
04/16-05:53:06.553, 0:00:00.000197, TCP, 9.246.85.82, 56988, 192.168.136.128, 135, 0, 0.,115,115
04/16-05:53:06.556, 0:00:00.000229, TCP, 9.246.85.82, 64558, 192.168.136.128, 135, 0, 0.,116,116
04/16-05:53:06.558, 0:00:00.000218, TCP, 9.246.85.82, 30815, 192.168.136.128, 135, 0, 0.,117,117
04/16-05:53:06.559, 0:00:00.000153, TCP, 9.246.85.82, 60698, 192.168.136.128, 135, 0, 0.,118,118
04/16-05:53:06.560, 0:00:00.000115, TCP, 9.246.85.82, 43545, 192.168.136.128, 135, 0, 0.,119,119
04/16-05:53:06.561, 0:00:00.000136, TCP, 9.246.85.82, 30248, 192.168.136.128, 135, 0, 0.,120,120
04/16-05:53:06.562, 0:00:00.000207, TCP, 9.246.85.82, 20042, 192.168.136.128, 135, 0, 0.,121,121
04/16-05:53:06.563, 0:00:00.000213, TCP, 9.246.85.82, 50221, 192.168.136.128, 135, 0, 0.,122,122
04/16-05:53:06.564, 0:00:00.000186, TCP, 9.246.85.82, 22665, 192.168.136.128, 135, 0, 0.,124,124
04/16-05:53:06.564, 0:00:00.000198, TCP, 9.246.85.82, 9779, 192.168.136.128, 135, 0, 0.,124,124
04/16-05:53:06.565, 0:00:00.000184, TCP, 9.246.85.82, 8192, 192.168.136.128, 135, 0, 0.,125,125
04/16-05:53:06.566, 0:00:00.000118, TCP, 9.246.85.82, 55596, 192.168.136.128, 135, 0, 0.,126,126
04/16-05:53:06.567, 0:00:00.000187, TCP, 9.246.85.82, 60327, 192.168.136.128, 135, 0, 0.,127,127
04/16-05:53:06.568, 0:00:00.000177, TCP, 9.246.85.82, 58856, 192.168.136.128, 135, 0, 0.,128,128
04/16-05:53:06.569, 0:00:00.000138, TCP, 9.246.85.82, 54882, 192.168.136.128, 135, 0, 0.,130,130
04/16-05:53:06.569, 0:00:00.000185, TCP, 9.246.85.82, 37579, 192.168.136.128, 135, 0, 0.,130,130
04/16-05:53:06.570, 0:00:00.000168, TCP, 9.246.85.82, 7710, 192.168.136.128, 135, 0, 0.,131,131
